
C|C
Nasidi summa spe et voluntate civitatem conpleverat|Nasidi had completed the city with the utmost hope and desire

nacti idoneum ventum ex portu exeunt et Tauroenta, quod est castellum Massiliensium, ad Nasidium perveniunt ibique naves expediunt rursusque se ad confligendum animo confirmant et consilia communicant|having obtained a suitable wind, they leave the harbor and arrive at Tauroenta, which is the fort of the Massilians.

dextra pars attribuitur Massiliensibus, sinistra Nasidio|the right part is attributed to the Massilians, the left to the Nasidians

Eodem Brutus contendit aucto navium numero|The same Brutus contended with an increased number of ships

nam ad eas, quae factae erant Arelate per Caesarem, captivae Massiliensium accesserant sex|for to those which had been made at Arelate by Caesar, six prisoners of the Massilians had come

has superioribus diebus refecerat atque omnibus rebus instruxerat|these he had restored in former days, and furnished them with all things

itaque suos cohortatus, quos integros superavissent, ut victos contemnerent, plenus spei bonae atque animi adversus eos proficiscitur|therefore, having encouraged his men, whom they had overcome whole, to despise the vanquished, he set out against them, full of good hope and spirit.

facile erat ex castris C|it was easy from camp C

Treboni atque omnibus superioribus locis prospicere in urbem, ut omnis iuventus, quae in oppido remanserat, omnesque superioris aetatis cum liberis atque uxoribus †publicis custodiisque† aut muro ad caelum manus tenderent aut templa deorum immortalium adirent et ante simulacra proiecti victoriam ab dis exposcerent|Treboni and all the higher places looked towards the city, so that all the youth who remained in the town, and all those of an older age with their children and wives and †public guards† either stretched out their hands to heaven on the wall, or went to the temples of the immortal gods, and before the effigies thrown down, they expounded the victory from the push

neque erat quisquam omnium, quin in eius diei casu suarum omnium fortunarum eventum consistere existimaret|and there was no one of all who did not think that the outcome of all his fortunes rested on the chance of that day

nam et honesti ex iuventute et cuiusque aetatis amplissimi nominatim evocati atque obsecrati navis conscenderant, ut siquid adversi accidisset, ne ad conandum quidem sibi quicquam reliqui fore viderent; si superavissent, vel domesticis opibus vel externis auxiliis de salute urbis confiderent|for the most honorable of the youth, and the greatest of every age, had been summoned by name and begged to embark on board the ship, so that whatever adversity might befall them, they did not see that there would be anything left for them to attempt; if they had survived, they would have trusted either to their domestic resources or to foreign aid for the safety of the city

Commisso proelio Massiliensibus res nulla ad virtutem defuit|When the battle was committed to the people of Marseilles, nothing was wanting for their valour

sed memores eorum praeceptorum, quae paulo ante ab suis acceperant, hoc animo decertabant, ut nullum aliud tempus ad conandum habituri viderentur, et quibus in pugna vitae periculum accideret, non ita multo se reliquorum civium fatum antecedere existimarent, quibus urbe capta eadem esset belli fortuna patienda|but remembering the instructions which they had received a little before from their own men, they fought with such a mind that they seemed to have no other time to try, and to those whose lives would be in danger in the battle, they did not think themselves so far in advance of the fate of the rest of the citizens, who, having taken the city, would have the same fate of war to suffer

diductisque nostris paulatim navibus et artificio gubernatorum et mobilitati navium locus dabatur, et siquando nostri facultatem nacti ferreis manibus iniectis navem religaverant, undique suis laborantibus succurrebant|and having led our ships, little by little, space was given to the skill of the pilots and the mobility of the ships;

neque vero coniuncti Albici comminus pugnando deficiebant neque multum cedebant virtute nostris|nor did the united whites fail to fight at close quarters, nor did they yield much to our strength

simul ex minoribus navibus magna vis eminus missa telorum multa nostris de improviso imprudentibus atque inpeditis vulnera inferebant|At the same time, a large force of guns was sent from the smaller ships at a distance, and they inflicted many wounds on our unsuspecting and disabled men.

conspicataeque naves triremes duae navem D|and two triremes were seen, the ship D

Bruti, quae ex insigni facile agnosci poterat, duabus ex partibus sese in eam incitaverant|The brutes, which could be easily recognized by their insignia, had forced themselves upon it from two sides

sed tantum re provisa Brutus celeritate navis enisus est ut parvo momento antecederet|but Brutus having only provided for the matter, the speed of the ship was so great that he was a little ahead

illae adeo graviter inter se incitatae conflixerunt, ut vehementissime utraque ex concursu laborarent, altera vero praefracto rostro tota conlabefieret|and these, being greatly incited, fought with each other, so that both of them suffered most violently from the collision, while the other, with his broken beak, fell down entirely.

qua re animadversa, quae proximae ei loco ex Bruti classe naves erant, in eas inpeditas impetum faciunt celeriterque ambas deprimunt|which being noticed, which were the ships of Brutus's fleet nearest to him, made a heavy attack upon them, and speedily sank them both

Sed Nasidianae naves nullo usui fuerunt celeriterque pugna excesserunt|But the Nasidian ships were of no use, and the battle was soon over

non enim has aut conspectus patriae aut propinquorum praecepta ad extre mum vitae periculum adire cogebant|for neither the view of their country nor the precepts of their relatives compelled them to risk their lives to the extreme

itaque ex eo numero navium nulla desiderata est; ex Massiliensium classe v sunt depressae, iiii captae, una cum Nasidianis profugit; quae omnes citeriorem Hispaniam petiverunt|and therefore none of that number of ships was wanting; 5 of the Massilian fleet were defeated, 3 were captured, and fled together with the Nasidians; all of which asked for better Spain

at ex reliquis una praemissa Massiliam huius nuntii perferendi gratia cum iam adpropinquaret urbi, omnis sese multitudo ad cognoscendum effudit, et re cognita tantus luctus excepit, ut urbs ab hostibus capta eodem vestigio videretur|but one of the rest, having been given the grace of carrying this news to Marseilles, when it was already nearing the city, the whole multitude poured out to make it known, and when the matter was learned, there was such great mourning, that the city was seen taken by the enemy by the same trail.

Massilienses tamen nihilo setius ad defensionem urbis reliqua apparare coeperunt|The inhabitants of Marseilles, however, began to prepare nothing more for the defense of the rest of the city

Est animadversum ab legionariis, qui dextram partem operis administrabant, ex crebris hostium eruptionibus magno sibi esse praesidio posse, si ibi pro castello ac receptaculo turrim ex latere sub muro fecissent|It was noticed by the legionaries, who were in charge of the right part of the work, that they could be greatly protected from the frequent eruptions of the enemy, if there they had made a tower on the side under the wall for a castle and shelter

quam primo ad repentinos incursus humilem parvamque fecerunt|which at first they made low and small for sudden attacks

huc se referebant; hinc, siqua maior oppresserat vis, propugnabant; hinc ad repellendum et prosequendum hostem procurrebant|they referred to this; hence, as if a greater force had oppressed them, they defended themselves; hence they ran to repulse and pursue the enemy

patebat haec quoquoversus pedes xxx, sed parietum crassitudo pedes v|These were open on every side 30 feet, but the thickness of the walls was 5 feet

postea vero, ut est rerum omnium magister usus, hominum adhibita sollertia inventum est magno esse usui posse, si haec esset in altitudinem turris elata|but afterwards, as use is the teacher of all things, it was found that the skill employed by men would be of great use, if it were raised to the height of a tower

id hac ratione perfectum est|it is perfect in this way

Ubi turris altitudo perducta est ad contabulationem, eam in parietes instruxerunt, ita ut capita tignorum extrema parietum structura tegerentur, nequid emineret, ubi ignis hostium adhaeresceret|When the height of the tower was brought up to the buttress, they set it up against the walls, so that the ends of the beams were covered by the structure of the walls, so that nothing would project where the fire of the enemy would stick.

hanc insuper contignationem, quantum tectum plutei ac vinearum passum est, latericulo adstruxerunt supraque eum locum duo tigna transversa iniecerunt non longe ab extremis parietibus, quibus suspenderent eam contignationem quae turri tegimento esset futura, supraque ea tigna derecto transversas trabes iniecerunt easque axibus religaverunt|this floor, in addition, as far as the roof of the shelf and the vines passed, they built up with brick, and above that place they threw two transverse beams not far from the extreme walls, by which they would suspend the floor which was to be the roof of the tower, and directly above these beams they threw transverse beams and tied them with axes

has trabes paulo longiores atque eminentiores quam extremi parietes erant, effecerunt ut esset ubi tegimenta praependere possent ad defendendos ictus ac repellendos, cum infra eam contignationem parietes extruerentur; eamque contabulationem summam lateribus lutoque constraverunt, nequid ignis hostium nocere posset, centonesque insuper iniecerunt, ne aut tela tormentis missa tabulationem perfringerent, aut saxa ex catapultis latericium discuterent|these beams were a little longer and more prominent than the outermost walls, and they made it so that there was a place where they could overhang the roofs to defend and repulse blows, when the walls were built below that floor. and they built up the top of the foundation with bricks and mud, so that the fire of the enemy could not harm them, and they threw in mortars, so that either the cannonballs shot through the foundation, or the stones from the catapults scattered the bricks.

storias autem ex funibus ancorariis tres in longitudinem parietum turris latas iiii pedes fecerunt easque ex tribus partibus quae ad hostes vergebant, eminentibus trabibus circum turrim praependentes religaverunt; quod unum genus tegimenti aliis locis erant experti nullo telo neque tormento traici posse|and they made stories from the anchor ropes three feet wide in the length of the walls of the tower, and tied them from the three sides which were towards the enemy, to projecting beams overhanging around the tower. that one kind of shelter they had experienced in other places could not be penetrated with any weapon or cannon

ubi vero ea pars turris, quae erat perfecta, tecta atque munita est ab omni ictu hostium, pluteos ad alia opera abduxerunt; turris tectum per se ipsum pressionibus ex contignatione prima suspendere ac tollere coeperunt|but when that part of the tower, which was complete, was covered and protected from every blow of the enemy, they removed the shelves to other works; the roof of the tower began to suspend and lift itself from the pressure of the first floor

ubi quantum storiarum demissio patiebatur, tantum elevarant, intra haec tegimenta abditi atque muniti parietes lateribus exstruebant, rursusque alia pressione ad aedificandum sibi locum expediebant|where, as far as the lowering of the stories was permitted, they raised it as much as they could; within these shelters they hid and fortified the walls with bricks, and again by other pressures they prepared a place for themselves

ubi tempus alterius contabulationis videbatur, tigna item ut primo tecta extremis lateribus instruebant exque ea contignatione rursus summam contabulationem storiasque elevabant|when the time for another rafter was in sight, the beams were also arranged at the extreme sides of the roof as at first, and from that floor they again raised the top rafter

ita tuto ac sine ullo vulnere ac periculo vi tabulata exstruxerunt fenestrasque, quibus in locis visum est, ad tormenta mittenda in struendo reliquerunt|thus safely and without any injury or danger they built the floors by force, and left the windows in the places where they saw fit to send the guns in the building.

Ubi ex ea turri quae circum essent opera tueri se posse sunt confisi, musculum pedes lx longum ex materia bipedali, quem a turri latericia ad hostium turrim murumque perducerent, facere instituerunt|When they were confident that they could protect themselves from the works of the tower that were around them, they planned to make a muscle 100 feet long of bipedal material, which they would lead from the bricks of the tower to the enemy's tower and wall.

cuius musculi haec erat forma|whose muscle was this form

duae primum trabes in solo aeque longae distantes inter se pedes iiii collocantur inque eis columellae pedum in altitudinem v defiguntur|two first beams are placed on the ground, at a distance of iii feet from each other, and on them are fixed the columns of feet to a height of v

has inter se capreolis molli fastigio coniungunt, ubi tigna quae musculi tegendi causa ponant collocentur|these are connected to each other by a soft ridge, where the logs which they put for the purpose of covering the muscles are placed

eo super tigna bipedalia iniciunt eaque laminis clavisque religant|upon it they cast two-footed beams, and fasten them with plates and keys

ad extremum musculi tectum trabesque extremas quadratas regulas iiii patentis digitos defigunt, quae lateres, qui super musculo struantur, contineant|at the extremity of the muscle roof and beams fix the extreme square rules iii open fingers, which contain the sides that are built over the muscle

ita fastigato atque ordinatim structo ut trabes erant in capreolis collocatae, lateribus lutoque musculus, ut ab igni qui ex muro iaceretur tutus esset, contegitur|It was built in such a way that the beams were placed in the rafters, and the walls were covered with mud and mud, so that it would be safe from the fire that was thrown from the wall.

super lateres coria inducuntur, ne canalibus aqua immissa lateres diluere posset|skins are introduced over the bricks, so that the water entering the canals could not dilute the bricks

coria autem ne rursus igni ac lapidibus corrumpantur, centonibus conteguntur|and the hides are covered with rags, lest they should again be corrupted by fire and stones

hoc opus omne tectum vineis ad ipsam turrim perficiunt subitoque inopinantibus hostibus machinatione navali phalangis subiectis ad turrim hostium admovent, ut aedificio iungatur|they complete this work with vines all the way to the tower itself, and suddenly, unexpected by the enemy, they advance to the enemy's tower, under the artillery of the naval phalanx, so that it may be joined to the building

Quo malo perterriti subito oppidani saxa, quam maxima possunt, vectibus promovent, praecipitataque muro in musculum devolvunt|The townspeople, suddenly terrified by this evil, push forward the stones as large as they can with poles, and roll them down upon the wall upon the wall.

ictum firmitas materiae sustinet, et quidquid incidit, fastigio musculi elabitur|the firmness of the material sustains the blow, and whatever falls, the summit of the muscle slips away

id ubi vident, mutant consilium; cupas taeda ac pice refertas incendunt easque de muro in musculum devolvunt|when they see that, they change their plan; they set fire to the casks filled with wood and pitch, and roll them from the wall into the muscle

involutae labuntur, delapsae ab lateribus longuriis furcisque ab opere removentur|they are rolled up and slid down, the long sides and the forks are removed from the work

interim sub musculo milites vectibus infima saxa turris hostium, quibus fundamenta continebantur, convellunt|Meanwhile, the soldiers under their swords were tearing down the lowest rocks of the enemy's tower, by which the foundations were held

musculus ex turri latericia a nostris telis tormentisque defenditur; hostes ex muro ac turribus submoventur; non datur libera muri defendendi facultas|the muscle of the brick tower is defended by our guns and artillery; the enemies are removed from the wall and towers; he is not given a free chance to defend the wall

conpluribus iam lapidibus ex illa quae suberat turri subductis repentina ruina pars eius turris concidit, pars reliqua consequens procumbebat, cum hostes urbis direptione perterriti inermes cum infulis se porta foras universi proripiunt, ad legatos atque exercitum supplices manus tendunt|After several stones had already been carried away from that which was under the tower, a part of the tower collapsed in a sudden fall, and the rest of the consequent part fell down, when the enemies, terrified by the plundering of the city, and unarmed, with the assailants, rushed out of the gate, and stretched out their hands in supplication to the legates and the army.

Qua nova re oblata omnis administratio belli consistit, militesque aversi a proelio ad studium audiendi et cognoscendi feruntur|With this new matter presented, all the administration of war ceases, and the soldiers are diverted from the battle to the study of hearing and learning

ubi hostes ad legatos exercitumque pervenerunt, universi se ad pedes proiciunt; orant, ut adventus Caesaris expectetur|when the enemy reached the ambassadors and the army, they all threw themselves at their feet; they pray that Caesar's arrival may be expected

captam suam urbem videre, opera perfecta, turrim subrutam; itaque ab defensione desistere|to see his city taken, the works completed, the tower destroyed; therefore to desist from the defence

nullam exoriri moram posse, quominus cum venisset, si imperata non facerent ad nutum, e vestigio diriperentur|that there could be no delay, lest, when he came, if they did not carry out the orders at the signal, they would be thrown off the track

docent, si omnino turris concidisset, non posse milites contineri, quin spe praedae in urbem inrumperent urbemque delerent|they teach that, if the tower had completely fallen, the soldiers could not be held back, without hoping to break into the city and destroy the city

haec atque eiusdem generis complura ut ab hominibus doctis magna cum misericordia fletuque pronuntiantur|these, and many others of the same kind, may be uttered by learned men with great compassion and weeping

Quibus rebus commoti legati milites ex opere deducunt, oppugnatione desistunt; operibus custodias relinquunt|The ambassadors, moved by these things, withdrew the soldiers from their work, and desisted from the attack; they leave the guards at work

indutiarum quodam genere misericordia facto adventus Caesaris expectatur|the coming of Caesar is awaited, having been clothed in a kind of mercy

nullum ex muro, nullum a nostris mittitur telum; ut re confecta omnes curam et diligentiam remittunt|no weapon is sent from the wall, no weapon from ours; when the matter is finished, all care and attention are returned

Caesar enim per litteras Trebonio magnopere mandaverat, ne per vim oppidum expugnari pateretur, ne gravius permoti milites et defectionis odio et contemptione sui et diutino labore omnes puberes interficerent; quod se facturos minabantur aegreque tunc sunt retenti, quin oppidum inrumperent, graviterque eam rem tulerunt, quod stetisse per Trebonium, quominus oppido potirentur, videbatur|For Caesar, by letter, had strongly commanded Trebonius that the town should not be allowed to be stormed by force, lest the soldiers, more deeply moved by the hatred and contempt of the desertion, and of their long labors, should kill all the young men; which they threatened to do, and then they were with difficulty restrained from breaking into the town, and they took the matter seriously, because it was seen that they had stood by Trebonium, from which they could take possession of the town

At hostes sine fide tempus atque occasionem fraudis ac doli quaerunt, interiectisque aliquot diebus, nostris languentibus atque animo remissis, subito meridiano tempore, cum alius discessisset, alius ex diutino labore in ipsis operibus quieti se dedisset, arma vero omnia reposita contectaque essent, portis se foras erumpunt, secundo magnoque vento ignem operibus inferunt|But the enemy without faith seek a time and an opportunity for fraud and deceit, and after several days' intervening, our languishing and spirited, suddenly at noon, when one had departed, and another had retired from long labor in the works themselves, but all the weapons had been stored and covered, the gates were closed they burst forth, and a second great wind brought fire to the works

hunc sic distulit ventus, uti uno tempore agger plutei testudo turris tormenta flammam conciperent et prius haec omnia consumerentur, quam quemadmodum accidisset, animadverti posset|This was so carried away by the wind, that at one time the ramparts of the ramparts and the tortoise-shell of the tower caught fire, and all this was consumed before it could be noticed how it had happened.

nostri repentina fortuna permoti arma quae possunt adripiunt, alii ex castris sese incitant|Ours, moved by our sudden fortune, seize what weapons they can, and others from the camp incite themselves

fit in hostis impetus eorum, sed de muro sagittis tormentisque fugientes persequi prohibentur|an attack is made on their enemy, but they are prevented from pursuing those fleeing from the wall by arrows and cannons

illi sub murum se recipiunt ibique musculum turrimque latericiam libere incendunt|they withdraw themselves under the wall, and there they freely set fire to the brickwork of the tower

ita multorum mensum labor hostium perfidia et vi tempestatis puncto temporis interiit|and so the labor of many men was destroyed at the point of time by the treachery of the enemy and by the force of the storm

temptaverunt hoc idem Massilienses postero die|The people of Marseilles tried the same thing the next day

eandem nacti tempestatem maiore cum fiducia ad alteram turrim aggeremque eruptione pugnaverunt multumque ignem intulerunt|and having encountered the same storm, they fought with greater confidence by breaking out into the other tower and rampart, and brought a great deal of fire

sed ut superioris temporis contentionem nostri omnem remiserant, ita proximi diei casu admoniti omnia ad defensionem paraverant|but as they had remitted all our strife of the former season, so being warned of the danger of the next day, they had prepared everything for the defense

itaque multis interfectis reliquos infecta re in oppidum reppulerunt|therefore, having killed many, they drove the rest into the town, infected by the disease

Trebonius ea quae sunt amissa multo maiore militum studio administrare et reficere instituit|Trebonius set about managing and restoring what had been lost with much greater military diligence

nam ubi tantos suos labores et apparatus male cecidisse viderunt, indutiisque per scelus violatis suam virtutem inrisui fore perdoluerunt, quod, unde agger omnino conportari posset, nihil erat reliquum, omnibus arboribus longe lateque in finibus Massiliensium excisis et convectis, aggerem novi generis atque inauditum ex latericiis duobus muris senum pedum crassitudine atque eorum murorum contignatione facere instituerunt aequa fere altitudine, atque ille congesticius ex materia fuerat agger|for when they saw that so many of their labors and equipment had failed miserably, and having been clothed with the crime of violating their valour, they regretted that their valor would be laughed at, because there was nothing left from which the rampart could be carried at all; They planned to make two walls of brick with the thickness of an old foot, and the floor of their walls was almost equal in height, and that had been a pile of congested material

ubi aut spatium inter muros aut imbecillitas materiae postulare videretur, pilae interponuntur, traversaria tigna iniciuntur, quae firmamento esse possint, et quidquid est contignatum, cratibus consternitur, crates luto integuntur|where either a space between the walls or the weakness of the material seemed to be required, piles are interposed, and cross-beams are thrown in, which may serve as a foundation;

sub tecto miles dextra ac sinistra muro tectus, adversus plutei obiectu, operi quaecumque sunt usui, sine periculo subportat|Under the roof, the soldier, sheltered by the wall on the right and left, against the object of the shelf, supports the work of whatever use it may be without danger.

celeriter res administratur; diuturni laboris detrimentum sollertia et virtute militum brevi reconciliatur|things are quickly managed; The loss of long labor is soon reconciled by the skill and valor of the soldiers

portae, quibus locis videtur, eruptionis causa in muro relinquuntur|the gates, in which places it seems, were left in the wall because of the eruption

Quod ubi hostes viderunt, ea, quae diu longoque spatio refici non posse sperassent, paucorum dierum opera et labore ita refecta, ut nullus perfidiae neque eruptioni locus esset, neque quicquam omnino relinqueretur, qua aut telis militibus aut igni operibus noceri posset, eodemque exemplo sentiunt totam urbem, qua sit aditus ab terra, muro turribusque circumiri posse, sic ut ipsis consistendi in suis munitionibus locus non esset, cum paene inaedificata in muris ab exercitu nostro moenia viderentur, ac telum manu coiceretur, suorumque tormentorum usum, quibus ipsi magna speravissent, spatii propinquitate interire parique condicione ex muro ac turribus bellandi data se virtute nostris adaequare non posse intellegunt, ad easdem deditionis condiciones recurrunt|And when the enemy saw, those things which they had hoped could not be restored for a long and long distance, were restored by the work and labor of a few days, in such a way that there was no room for treachery, nor for an eruption, nor was anything left at all, by which either the weapons of the soldiers or the works of fire could be harmed, and they felt the same example. the whole city, to which there was an approach from the ground, could be surrounded by a wall and towers, so that there would be no place for them to stand in their fortifications, when the walls were seen by our army almost unbuilt on the walls, and the weapons were cast by hand, and the use of their cannons, in which they had greatly hoped. to perish by the proximity of the space, and given the equal condition of the wall and towers of war, they realize that they cannot equal our power, they resort to the same terms of surrender

M|M

Varro in ulteriore Hispania initio cognitis iis rebus quae sunt in Italia gestae, diffidens Pompeianis rebus amicissime de Caesare loquebatur: praeoccupatum sese legatione ab Cn|Varro, in further Spain, having at first learned of the events which had taken place in Italy, distrusted the affairs of Pompey, and spoke most kindly of Caesar;

Pompeio, teneri obstrictum fide; necessitudinem quidem sibi nihilo minorem cum Caesare intercedere, neque se ignorare, quod esset officium legati, qui fiduciariam operam obtineret, quae vires suae, quae voluntas erga Caesarem totius provinciae|Pompey, to be bound by faith; indeed, to intercede in no small way with Caesar, nor to ignore himself, which was the duty of an ambassador, who should secure the fiduciary service, which his strength, which will, towards Caesar, of the whole province

haec omnibus ferebat sermonibus neque se in ullam partem movebat|He carried these things to all his speeches, and did not move in any direction

postea vero quam Caesarem ad Massiliam detineri cognovit, copias Petrei cum exercitu Afrani esse coniunctas, magna auxilia convenisse, magna esse in spe atque expectari, et consentire omnem citeriorem provinciam, quaeque postea acciderant, de angustiis ad Ilerdam rei frumentariae accepit, atque haec ad eum elatius atque inflatius Afranius perscribebat, se quoque ad motus fortunae movere coepit|but afterwards, when he learned that Caesar was detained at Marseilles, that the forces of Peter were united with the army of Afran, that great reinforcements had been assembled, that he was in great expectation and expectation, and that he agreed with all the other provinces, which had afterwards happened, he took from the distresses of Ilerda the matter of grain, and these to him As Afranius wrote more and more cheerfully, he also began to move himself to the movements of fortune

Dilectum habuit tota provincia, legionibus conpletis duabus cohortes circiter xxx alarias addidit|He had a favorite in the whole province, and having completed the legions, he added two cohorts of about 300 aliarii

frumenti magnum numerum coegit, quod Massiliensibus, item quod Afranio Petreioque mitteret|He forced a large quantity of corn, which he was to send to the Massilians, as well as to send to Afranius and Petreius

naves longas x Gaditanis ut facerent imperavit, compluris praeterea in Hispali faciendas curavit|He ordered the Gaditans to build long ships, and he took care to build several more in Hispalus

pecuniam omnem omniaque ornamenta ex fano Herculis in oppidum Gadis contulit; eo sex cohortes praesidii causa ex provincia misit Gaiumque Gallonium equitem Romanum familiarem Domiti, qui eo procurandae hereditatis causa venerat missus a Domitio, oppido Gadibus praefecit; arma omnia privata ac publica in domum Galloni contulit|He brought all the money and all the ornaments from the fan of Hercules to the town of Gadis; He sent six cohorts from the province for the purpose of guarding him, and Gaius Gallonium, a Roman horseman familiar to Domitius, who had been sent by Domitius for the purpose of securing the inheritance, put him in charge of the town of Gadis. He brought all the private and public arms into Gallo's house

ipse habuit graves in Caesarem contiones|He himself had serious meetings with Caesar

saepe ex tribunali praedicavit adversa Caesarem proelia fecisse, magnum numerum ab eo militum ad Afranium perfugisse; haec se certis nuntiis, certis auctoribus comperisse|He often proclaimed from the tribunal that Caesar had fought adverse battles, and that a large number of soldiers had fled from him to Afranius; that he found these things by certain messages, by certain authors

quibus rebus perterritos civis Romanos eius provinciae sibi ad rem publicam administrandam HS ccxxx et argenti pondo xx milia, tritici modios cxx milia polliceri coegit|by which things, the citizens of his province being terrified, forced the Roman citizens of his province to promise him 200,000 pounds of silver and 120,000 bushels of wheat to administer the state.

quas Caesari esse amicas civitates arbitrabatur, his graviora onera iniungebat praesidiaque eo deducebat, et iudicia in privatos reddebat, qui verba atque orationem adversus rem publicam habuissent; eorum bona in publicum addicebat|which he thought to be Caesar's friendly states, he imposed heavier burdens on them, and brought garrisons to them, and returned judgments to private persons, who had spoken words and speech against the state; He added their goods to the public

provinciam omnem in sua et Pompei verba iusiurandum adigebat|He used the whole province to swear by his own words and those of Pompey

cognitis iis rebus quae sunt gestae in citeriore Hispania, bellum parabat|when he learned of the events which had taken place in Spain, he prepared for war

ratio autem haec erat belli, ut se cum ii legionibus Gadis conferret, naves frumentumque omne ibi contineret; provinciam enim omnem Caesaris rebus favere cognoverat|and this was the purpose of the war, that he might bring himself together with the legions of Gadis, and contain the ships and all the grain there; for he had known all the province to favor Caesar's affairs

in insula frumento navibusque comparatis bellum duci non difficile existimabat|he did not consider it difficult to lead a war in the island, as corn and ships were provided

